occ_code,Title,mSML,vmSML,sdmSML
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.711084746,0.365770555,0.604789678
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.481714983,0.489258624,0.699470245
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.506283078,0.42052334,0.64847771
13-1031.01,"Claims Examiners, Property and Casualty Insurance",3.411012778,0.369376885,0.60776384
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",3.439171123,0.267149603,0.516865169
13-1032.00,"Insurance Appraisers, Auto Damage",3.387884699,0.204703162,0.452441336
13-1041.01,Environmental Compliance Inspectors,3.492592004,0.307694543,0.554702211
13-1041.02,Licensing Examiners and Inspectors,3.550332278,0.408980595,0.639515907
13-1041.03,Equal Opportunity Representatives and Officers,3.60821368,0.461262103,0.679162796
13-1041.04,Government Property Inspectors and Investigators,3.325244479,0.469320521,0.68506972
13-1041.06,Coroners,3.648415061,0.228986807,0.47852566
13-1041.07,Regulatory Affairs Specialists,3.337958886,0.499592852,0.706818825
13-1051.00,Cost Estimators,3.297940711,0.281486685,0.530553188
13-1071.00,Human Resources Specialists,3.703095474,0.371785859,0.609742453
13-1074.00,Farm Labor Contractors,3.528164076,0.623379423,0.789543807
13-1075.00,Labor Relations Specialists,3.546221285,0.347485243,0.58947879
13-1081.00,Logisticians,3.454203211,0.527783531,0.726487117
13-1081.01,Logistics Engineers,3.594815674,0.319278815,0.565047622
13-1081.02,Logistics Analysts,3.530748453,0.362135308,0.601776792
13-1111.00,Management Analysts,3.294294574,0.404230859,0.635791521
13-1121.00,"Meeting, Convention, and Event Planners",3.408434037,0.359017684,0.599180844
13-1131.00,Fundraisers,3.50901177,0.407987859,0.638739273
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.646076484,0.397169755,0.630214055
13-1151.00,Training and Development Specialists,3.508699214,0.325768351,0.570761203
13-1161.00,Market Research Analysts and Marketing Specialists,3.616733949,0.447637558,0.669057216
13-1199.01,Energy Auditors,3.567345174,0.366274539,0.605206196
13-1199.02,Security Management Specialists,3.398463504,0.502177549,0.708644868
13-1199.03,Customs Brokers,3.44364402,0.345737048,0.587994089
13-1199.04,Business Continuity Planners,3.293456204,0.432063517,0.657315387
13-1199.05,Sustainability Specialists,3.501288559,0.333661238,0.577634173
13-1199.06,Online Merchants,3.533415786,0.462118496,0.67979298
13-2011.01,Accountants,3.584172249,0.382036487,0.618091002
13-2011.02,Auditors,3.401052328,0.273562033,0.52303158
13-2021.01,Assessors,3.58175025,0.426545672,0.653104641
13-2021.02,"Appraisers, Real Estate",3.696498983,0.310363785,0.557103029
13-2031.00,Budget Analysts,3.391732713,0.356531898,0.597102921
13-2041.00,Credit Analysts,3.590337064,0.337733656,0.581148566
13-2051.00,Financial Analysts,3.53646082,0.359606307,0.599671832
13-2052.00,Personal Financial Advisors,3.402850101,0.491234556,0.700881271
13-2053.00,Insurance Underwriters,3.596307815,0.372299184,0.610163244
13-2061.00,Financial Examiners,3.311800482,0.594999781,0.771362289
13-2071.00,Credit Counselors,3.589149027,0.471238653,0.686468246
13-2071.01,Loan Counselors,3.573630952,0.432175609,0.657400646
13-2072.00,Loan Officers,3.48445714,0.564814754,0.751541585
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.542409606,0.358454039,0.598710313
13-2082.00,Tax Preparers,3.702320329,0.361981272,0.601648794
13-2099.02,Risk Management Specialists,3.511568251,0.361900108,0.60158134
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.550990099,0.354660295,0.595533622
15-1111.00,Computer and Information Research Scientists,3.42220908,0.355788976,0.596480491
15-1121.00,Computer Systems Analysts,3.465805814,0.345850835,0.588090839
15-1121.01,Informatics Nurse Specialists,3.413712743,0.287049429,0.53576994
15-1122.00,Information Security Analysts,3.543814163,0.30323218,0.550665216
15-1131.00,Computer Programmers,3.525155582,0.25522221,0.50519522
15-1132.00,"Software Developers, Applications",3.37827649,0.289603011,0.53814776
15-1133.00,"Software Developers, Systems Software",3.422585227,0.342736887,0.585437347
15-1134.00,Web Developers,3.550911956,0.338096066,0.581460287
15-1141.00,Database Administrators,3.555305318,0.318178855,0.564073448
15-1142.00,Network and Computer Systems Administrators,3.593409081,0.283397348,0.532350776
15-1143.01,Telecommunications Engineering Specialists,3.531091339,0.369505436,0.607869588
15-1151.00,Computer User Support Specialists,3.375936671,0.265228397,0.515003298
15-1152.00,Computer Network Support Specialists,3.578486782,0.286365168,0.535130982
15-1199.01,Software Quality Assurance Engineers and Testers,3.625431511,0.320034618,0.565716022
15-1199.02,Computer Systems Engineers/Architects,3.446926312,0.381545468,0.617693669
15-1199.03,Web Administrators,3.602809579,0.362925326,0.602432839
15-1199.04,Geospatial Information Scientists and Technologists,3.457436368,0.324823765,0.569933123
15-1199.05,Geographic Information Systems Technicians,3.600327648,0.448187157,0.669467816
15-1199.06,Database Architects,3.663114754,0.316273347,0.562381852
15-1199.08,Business Intelligence Analysts,3.42419226,0.403890245,0.635523599
15-1199.09,Information Technology Project Managers,3.456675227,0.414985826,0.644193935
15-1199.10,Search Marketing Strategists,3.473278828,0.381972079,0.618038898
15-1199.11,Video Game Designers,3.52952187,0.439603838,0.663026273
15-1199.12,Document Management Specialists,3.72308958,0.337824588,0.581226795
15-2011.00,Actuaries,3.519325482,0.338265512,0.581605977
15-2021.00,Mathematicians,3.459645306,0.293465922,0.54172495
15-2031.00,Operations Research Analysts,3.504999085,0.310010727,0.55678607
15-2041.00,Statisticians,3.559235647,0.315788339,0.561950478
15-2041.01,Biostatisticians,3.550315692,0.41673562,0.645550633
15-2041.02,Clinical Data Managers,3.585149279,0.349572965,0.591246957
17-1011.00,"Architects, Except Landscape and Naval",3.424610844,0.451025593,0.67158439
17-1012.00,Landscape Architects,3.352259355,0.468403416,0.684400041
17-1021.00,Cartographers and Photogrammetrists,3.536883164,0.439741546,0.663130112
17-1022.00,Surveyors,3.435150345,0.401326253,0.633503159
17-1022.01,Geodetic Surveyors,3.303793954,0.3709188,0.609031033
17-2011.00,Aerospace Engineers,3.493630013,0.370260231,0.608490124
17-2021.00,Agricultural Engineers,3.541273251,0.385105381,0.620568595
17-2031.00,Biomedical Engineers,3.410393482,0.414249803,0.643622407
17-2041.00,Chemical Engineers,3.311748601,0.405931529,0.637127561
17-2051.00,Civil Engineers,3.409974357,0.368010619,0.606638788
17-2051.01,Transportation Engineers,3.465334626,0.505200878,0.710774844
17-2061.00,Computer Hardware Engineers,3.520065287,0.323365743,0.568652568
17-2071.00,Electrical Engineers,3.477106773,0.439066995,0.662621306
17-2072.00,"Electronics Engineers, Except Computer",3.615323226,0.439571866,0.663002162
17-2072.01,Radio Frequency Identification Device Specialists,3.566074364,0.321464615,0.566978496
17-2081.00,Environmental Engineers,3.346904639,0.369141565,0.607570214
